"","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"706",706,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")","male",39,0,0,"250655",26,"","S"
"720",720,0,3,"Johnson, Mr. Malkolm Joackim","male",33,0,0,"347062",7.775,"","S"
"561",561,0,3,"Morrow, Mr. Thomas Rowan","male",NA,0,0,"372622",7.75,"","Q"
"6",6,0,3,"Moran, Mr. James","male",NA,0,0,"330877",8.4583,"","Q"
"417",417,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)","female",34,1,1,"28220",32.5,"","S"
"251",251,0,3,"Reed, Mr. James George","male",NA,0,0,"362316",7.25,"","S"
"157",157,1,3,"Gilnagh, Miss. Katherine ""Katie""","female",16,0,0,"35851",7.7333,"","Q"
"831",831,1,3,"Yasbeck, Mrs. Antoni (Selini Alexander)","female",15,1,0,"2659",14.4542,"","C"
"571",571,1,2,"Harris, Mr. George","male",62,0,0,"S.W./PP 752",10.5,"","S"
"645",645,1,3,"Baclini, Miss. Eugenie","female",0.75,2,1,"2666",19.2583,"","C"
"521",521,1,1,"Perreault, Miss. Anne","female",30,0,0,"12749",93.5,"B73","S"
"492",492,0,3,"Windelov, Mr. Einar","male",21,0,0,"SOTON/OQ 3101317",7.25,"","S"
"824",824,1,3,"Moor, Mrs. (Beila)","female",27,0,1,"392096",12.475,"E121","S"
"442",442,0,3,"Hampe, Mr. Leon","male",20,0,0,"345769",9.5,"","S"
"211",211,0,3,"Ali, Mr. Ahmed","male",24,0,0,"SOTON/O.Q. 3101311",7.05,"","S"
"358",358,0,2,"Funk, Miss. Annie Clemmer","female",38,0,0,"237671",13,"","S"
"526",526,0,3,"Farrell, Mr. James","male",40.5,0,0,"367232",7.75,"","Q"
"817",817,0,3,"Heininen, Miss. Wendla Maria","female",23,0,0,"STON/O2. 3101290",7.925,"","S"
"114",114,0,3,"Jussila, Miss. Katriina","female",20,1,0,"4136",9.825,"","S"
"883",883,0,3,"Dahlberg, Miss. Gerda Ulrika","female",22,0,0,"7552",10.5167,"","S"
"170",170,0,3,"Ling, Mr. Lee","male",28,0,0,"1601",56.4958,"","S"
"46",46,0,3,"Rogers, Mr. William John","male",NA,0,0,"S.C./A.4. 23567",8.05,"","S"
"301",301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""","female",NA,0,0,"9234",7.75,"","Q"
"802",802,1,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)","female",31,1,1,"C.A. 31921",26.25,"","S"
"722",722,0,3,"Jensen, Mr. Svend Lauritz","male",17,1,0,"350048",7.0542,"","S"
"767",767,0,1,"Brewe, Dr. Arthur Jackson","male",NA,0,0,"112379",39.6,"","C"
"189",189,0,3,"Bourke, Mr. John","male",40,1,1,"364849",15.5,"","Q"
"316",316,1,3,"Nilsson, Miss. Helmina Josefina","female",26,0,0,"347470",7.8542,"","S"
"210",210,1,1,"Blank, Mr. Henry","male",40,0,0,"112277",31,"A31","C"
"660",660,0,1,"Newell, Mr. Arthur Webster","male",58,0,2,"35273",113.275,"D48","C"
"134",134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)","female",29,1,0,"228414",26,"","S"
"62",62,1,1,"Icard, Miss. Amelie","female",38,0,0,"113572",80,"B28",""
"347",347,1,2,"Smith, Miss. Marion Elsie","female",40,0,0,"31418",13,"","S"
"728",728,1,3,"Mannion, Miss. Margareth","female",NA,0,0,"36866",7.7375,"","Q"
"644",644,1,3,"Foo, Mr. Choong","male",NA,0,0,"1601",56.4958,"","S"
"438",438,1,2,"Richards, Mrs. Sidney (Emily Hocking)","female",24,2,3,"29106",18.75,"","S"
"506",506,0,1,"Penasco y Castellana, Mr. Victor de Satode","male",18,1,0,"PC 17758",108.9,"C65","C"
"182",182,0,2,"Pernot, Mr. Rene","male",NA,0,0,"SC/PARIS 2131",15.05,"","C"
"163",163,0,3,"Bengtsson, Mr. John Viktor","male",26,0,0,"347068",7.775,"","S"
"375",375,0,3,"Palsson, Miss. Stina Viola","female",3,3,1,"349909",21.075,"","S"
"446",446,1,1,"Dodge, Master. Washington","male",4,0,2,"33638",81.8583,"A34","S"
"764",764,1,1,"Carter, Mrs. William Ernest (Lucile Polk)","female",36,1,2,"113760",120,"B96 B98","S"
"864",864,0,3,"Sage, Miss. Dorothy Edith ""Dolly""","female",NA,8,2,"CA. 2343",69.55,"","S"
"528",528,0,1,"Farthing, Mr. John","male",NA,0,0,"PC 17483",221.7792,"C95","S"
"687",687,0,3,"Panula, Mr. Jaako Arnold","male",14,4,1,"3101295",39.6875,"","S"
"600",600,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")","male",49,1,0,"PC 17485",56.9292,"A20","C"
"668",668,0,3,"Rommetvedt, Mr. Knud Paust","male",NA,0,0,"312993",7.775,"","S"
"813",813,0,2,"Slemen, Mr. Richard James","male",35,0,0,"28206",10.5,"","S"
"638",638,0,2,"Collyer, Mr. Harvey","male",31,1,1,"C.A. 31921",26.25,"","S"
"419",419,0,2,"Matthews, Mr. William John","male",30,0,0,"28228",13,"","S"
"734",734,0,2,"Berriman, Mr. William John","male",23,0,0,"28425",13,"","S"
"408",408,1,2,"Richards, Master. William Rowe","male",3,1,1,"29106",18.75,"","S"
"624",624,0,3,"Hansen, Mr. Henry Damsgaard","male",21,0,0,"350029",7.8542,"","S"
"750",750,0,3,"Connaghton, Mr. Michael","male",31,0,0,"335097",7.75,"","Q"
"655",655,0,3,"Hegarty, Miss. Hanora ""Nora""","female",18,0,0,"365226",6.75,"","Q"
"172",172,0,3,"Rice, Master. Arthur","male",4,4,1,"382652",29.125,"","Q"
"651",651,0,3,"Mitkoff, Mr. Mito","male",NA,0,0,"349221",7.8958,"","S"
"290",290,1,3,"Connolly, Miss. Kate","female",22,0,0,"370373",7.75,"","Q"
"125",125,0,1,"White, Mr. Percival Wayland","male",54,0,1,"35281",77.2875,"D26","S"
"816",816,0,1,"Fry, Mr. Richard","male",NA,0,0,"112058",0,"B102","S"
"113",113,0,3,"Barton, Mr. David John","male",22,0,0,"324669",8.05,"","S"
"566",566,0,3,"Davies, Mr. Alfred J","male",24,2,0,"A/4 48871",24.15,"","S"
"447",447,1,2,"Mellinger, Miss. Madeleine Violet","female",13,0,1,"250644",19.5,"","S"
"406",406,0,2,"Gale, Mr. Shadrach","male",34,1,0,"28664",21,"","S"
"879",879,0,3,"Laleff, Mr. Kristo","male",NA,0,0,"349217",7.8958,"","S"
"832",832,1,2,"Richards, Master. George Sibley","male",0.83,1,1,"29106",18.75,"","S"
"623",623,1,3,"Nakid, Mr. Sahid","male",20,1,1,"2653",15.7417,"","C"
"94",94,0,3,"Dean, Mr. Bertram Frank","male",26,1,2,"C.A. 2315",20.575,"","S"
"838",838,0,3,"Sirota, Mr. Maurice","male",NA,0,0,"392092",8.05,"","S"
"627",627,0,2,"Kirkland, Rev. Charles Leonard","male",57,0,0,"219533",12.35,"","Q"
"324",324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)","female",22,1,1,"248738",29,"","S"
"286",286,0,3,"Stankovic, Mr. Ivan","male",33,0,0,"349239",8.6625,"","C"
"564",564,0,3,"Simmons, Mr. John","male",NA,0,0,"SOTON/OQ 392082",8.05,"","S"
"101",101,0,3,"Petranec, Miss. Matilda","female",28,0,0,"349245",7.8958,"","S"
"227",227,1,2,"Mellors, Mr. William John","male",19,0,0,"SW/PP 751",10.5,"","S"
"357",357,1,1,"Bowerman, Miss. Elsie Edith","female",22,0,1,"113505",55,"E33","S"
"329",329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)","female",31,1,1,"363291",20.525,"","S"
"87",87,0,3,"Ford, Mr. William Neal","male",16,1,3,"W./C. 6608",34.375,"","S"
"842",842,0,2,"Mudd, Mr. Thomas Charles","male",16,0,0,"S.O./P.P. 3",10.5,"","S"
"208",208,1,3,"Albimona, Mr. Nassef Cassem","male",26,0,0,"2699",18.7875,"","C"
"68",68,0,3,"Crease, Mr. Ernest James","male",19,0,0,"S.P. 3464",8.1583,"","S"
"18",18,1,2,"Williams, Mr. Charles Eugene","male",NA,0,0,"244373",13,"","S"
"102",102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")","male",NA,0,0,"349215",7.8958,"","S"
"672",672,0,1,"Davidson, Mr. Thornton","male",31,1,0,"F.C. 12750",52,"B71","S"
"626",626,0,1,"Sutton, Mr. Frederick","male",61,0,0,"36963",32.3208,"D50","S"
"652",652,1,2,"Doling, Miss. Elsie","female",18,0,1,"231919",23,"","S"
"150",150,0,2,"Byles, Rev. Thomas Roussel Davids","male",42,0,0,"244310",13,"","S"
"403",403,0,3,"Jussila, Miss. Mari Aina","female",21,1,0,"4137",9.825,"","S"
"747",747,0,3,"Abbott, Mr. Rossmore Edward","male",16,1,1,"C.A. 2673",20.25,"","S"
"882",882,0,3,"Markun, Mr. Johann","male",33,0,0,"349257",7.8958,"","S"
"168",168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",45,1,4,"347088",27.9,"","S"
"300",300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)","female",50,0,1,"PC 17558",247.5208,"B58 B60","C"
"261",261,0,3,"Smith, Mr. Thomas","male",NA,0,0,"384461",7.75,"","Q"
"873",873,0,1,"Carlsson, Mr. Frans Olof","male",33,0,0,"695",5,"B51 B53 B55","S"
"195",195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)","female",44,0,0,"PC 17610",27.7208,"B4","C"
"694",694,0,3,"Saad, Mr. Khalil","male",25,0,0,"2672",7.225,"","C"
"11",11,1,3,"Sandstrom, Miss. Marguerite Rut","female",4,1,1,"PP 9549",16.7,"G6","S"
"475",475,0,3,"Strandberg, Miss. Ida Sofia","female",22,0,0,"7553",9.8375,"","S"
"886",886,0,3,"Rice, Mrs. William (Margaret Norton)","female",39,0,5,"382652",29.125,"","Q"
"228",228,0,3,"Lovell, Mr. John Hall (""Henry"")","male",20.5,0,0,"A/5 21173",7.25,"","S"
"142",142,1,3,"Nysten, Miss. Anna Sofia","female",22,0,0,"347081",7.75,"","S"
"757",757,0,3,"Carlsson, Mr. August Sigfrid","male",28,0,0,"350042",7.7958,"","S"
"608",608,1,1,"Daniel, Mr. Robert Williams","male",27,0,0,"113804",30.5,"","S"
"282",282,0,3,"Olsson, Mr. Nils Johan Goransson","male",28,0,0,"347464",7.8542,"","S"
"550",550,1,2,"Davies, Master. John Morgan Jr","male",8,1,1,"C.A. 33112",36.75,"","S"
"745",745,1,3,"Stranden, Mr. Juho","male",31,0,0,"STON/O 2. 3101288",7.925,"","S"
"805",805,1,3,"Hedman, Mr. Oskar Arvid","male",27,0,0,"347089",6.975,"","S"
"688",688,0,3,"Dakic, Mr. Branko","male",19,0,0,"349228",10.1708,"","S"
"336",336,0,3,"Denkoff, Mr. Mitto","male",NA,0,0,"349225",7.8958,"","S"
"86",86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","female",33,3,0,"3101278",15.85,"","S"
"629",629,0,3,"Bostandyeff, Mr. Guentcho","male",26,0,0,"349224",7.8958,"","S"
"250",250,0,2,"Carter, Rev. Ernest Courtenay","male",54,1,0,"244252",26,"","S"
"338",338,1,1,"Burns, Miss. Elizabeth Margaret","female",41,0,0,"16966",134.5,"E40","C"
"308",308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)","female",17,1,0,"PC 17758",108.9,"C65","C"
"686",686,0,2,"Laroche, Mr. Joseph Philippe Lemercier","male",25,1,2,"SC/Paris 2123",41.5792,"","C"
"105",105,0,3,"Gustafsson, Mr. Anders Vilhelm","male",37,2,0,"3101276",7.925,"","S"
"55",55,0,1,"Ostby, Mr. Engelhart Cornelius","male",65,0,1,"113509",61.9792,"B30","C"
"392",392,1,3,"Jansson, Mr. Carl Olof","male",21,0,0,"350034",7.7958,"","S"
"343",343,0,2,"Collander, Mr. Erik Gustaf","male",28,0,0,"248740",13,"","S"
"867",867,1,2,"Duran y More, Miss. Asuncion","female",27,1,0,"SC/PARIS 2149",13.8583,"","C"
"390",390,1,2,"Lehmann, Miss. Bertha","female",17,0,0,"SC 1748",12,"","C"
"254",254,0,3,"Lobb, Mr. William Arthur","male",30,1,0,"A/5. 3336",16.1,"","S"
"452",452,0,3,"Hagland, Mr. Ingvald Olai Olsen","male",NA,1,0,"65303",19.9667,"","S"
"570",570,1,3,"Jonsson, Mr. Carl","male",32,0,0,"350417",7.8542,"","S"
"110",110,1,3,"Moran, Miss. Bertha","female",NA,1,0,"371110",24.15,"","Q"
"790",790,0,1,"Guggenheim, Mr. Benjamin","male",46,0,0,"PC 17593",79.2,"B82 B84","C"
"283",283,0,3,"de Pelsmaeker, Mr. Alfons","male",16,0,0,"345778",9.5,"","S"
"742",742,0,1,"Cavendish, Mr. Tyrell William","male",36,1,0,"19877",78.85,"C46","S"
"480",480,1,3,"Hirvonen, Miss. Hildur E","female",2,0,1,"3101298",12.2875,"","S"
"212",212,1,2,"Cameron, Miss. Clear Annie","female",35,0,0,"F.C.C. 13528",21,"","S"
"514",514,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)","female",54,1,0,"PC 17603",59.4,"","C"
"206",206,0,3,"Strom, Miss. Telma Matilda","female",2,0,1,"347054",10.4625,"G6","S"
"414",414,0,2,"Cunningham, Mr. Alfred Fleming","male",NA,0,0,"239853",0,"","S"
"285",285,0,1,"Smith, Mr. Richard William","male",NA,0,0,"113056",26,"A19","S"
"857",857,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)","female",45,1,1,"36928",164.8667,"","S"
"601",601,1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)","female",24,2,1,"243847",27,"","S"
"395",395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)","female",24,0,2,"PP 9549",16.7,"G6","S"
"398",398,0,2,"McKane, Mr. Peter David","male",46,0,0,"28403",26,"","S"
"888",888,1,1,"Graham, Miss. Margaret Edith","female",19,0,0,"112053",30,"B42","S"
"50",50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)","female",18,1,0,"349237",17.8,"","S"
"851",851,0,3,"Andersson, Master. Sigvard Harald Elias","male",4,4,2,"347082",31.275,"","S"
"267",267,0,3,"Panula, Mr. Ernesti Arvid","male",16,4,1,"3101295",39.6875,"","S"
"184",184,1,2,"Becker, Master. Richard F","male",1,2,1,"230136",39,"F4","S"
"67",67,1,2,"Nye, Mrs. (Elizabeth Ramell)","female",29,0,0,"C.A. 29395",10.5,"F33","S"
"287",287,1,3,"de Mulder, Mr. Theodore","male",30,0,0,"345774",9.5,"","S"
"518",518,0,3,"Ryan, Mr. Patrick","male",NA,0,0,"371110",24.15,"","Q"
"39",39,0,3,"Vander Planke, Miss. Augusta Maria","female",18,2,0,"345764",18,"","S"
"618",618,0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)","female",26,1,0,"A/5. 3336",16.1,"","S"
"199",199,1,3,"Madigan, Miss. Margaret ""Maggie""","female",NA,0,0,"370370",7.75,"","Q"
"510",510,1,3,"Lang, Mr. Fang","male",26,0,0,"1601",56.4958,"","S"
"95",95,0,3,"Coxon, Mr. Daniel","male",59,0,0,"364500",7.25,"","S"
"233",233,0,2,"Sjostedt, Mr. Ernst Adolf","male",59,0,0,"237442",13.5,"","S"
"785",785,0,3,"Ali, Mr. William","male",25,0,0,"SOTON/O.Q. 3101312",7.05,"","S"
"833",833,0,3,"Saad, Mr. Amin","male",NA,0,0,"2671",7.2292,"","C"
"544",544,1,2,"Beane, Mr. Edward","male",32,1,0,"2908",26,"","S"
"428",428,1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")","female",19,0,0,"250655",26,"","S"
"169",169,0,1,"Baumann, Mr. John D","male",NA,0,0,"PC 17318",25.925,"","S"
"91",91,0,3,"Christmann, Mr. Emil","male",29,0,0,"343276",8.05,"","S"
"670",670,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)","female",NA,1,0,"19996",52,"C126","S"
"605",605,1,1,"Homer, Mr. Harry (""Mr E Haven"")","male",35,0,0,"111426",26.55,"","C"
"330",330,1,1,"Hippach, Miss. Jean Gertrude","female",16,0,1,"111361",57.9792,"B18","C"
"579",579,0,3,"Caram, Mrs. Joseph (Maria Elias)","female",NA,1,0,"2689",14.4583,"","C"
"460",460,0,3,"O'Connor, Mr. Maurice","male",NA,0,0,"371060",7.75,"","Q"
"434",434,0,3,"Kallio, Mr. Nikolai Erland","male",17,0,0,"STON/O 2. 3101274",7.125,"","S"
"804",804,1,3,"Thomas, Master. Assad Alexander","male",0.42,0,1,"2625",8.5167,"","C"
"431",431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan","male",28,0,0,"110564",26.55,"C52","S"
"216",216,1,1,"Newell, Miss. Madeleine","female",31,1,0,"35273",113.275,"D36","C"
"724",724,0,2,"Hodges, Mr. Henry Price","male",50,0,0,"250643",13,"","S"
"19",19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)","female",31,1,0,"345763",18,"","S"
"391",391,1,1,"Carter, Mr. William Ernest","male",36,1,2,"113760",120,"B96 B98","S"
"178",178,0,1,"Isham, Miss. Ann Elizabeth","female",50,0,0,"PC 17595",28.7125,"C49","C"
"345",345,0,2,"Fox, Mr. Stanley Hubert","male",36,0,0,"229236",13,"","S"
"455",455,0,3,"Peduzzi, Mr. Joseph","male",NA,0,0,"A/5 2817",8.05,"","S"
"394",394,1,1,"Newell, Miss. Marjorie","female",23,1,0,"35273",113.275,"D36","C"
"595",595,0,2,"Chapman, Mr. John Henry","male",37,1,0,"SC/AH 29037",26,"","S"
"822",822,1,3,"Lulic, Mr. Nikola","male",27,0,0,"315098",8.6625,"","S"
"542",542,0,3,"Andersson, Miss. Ingeborg Constanzia","female",9,4,2,"347082",31.275,"","S"
"41",41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","female",40,1,0,"7546",9.475,"","S"
"537",537,0,1,"Butt, Major. Archibald Willingham","male",45,0,0,"113050",26.55,"B38","S"
"279",279,0,3,"Rice, Master. Eric","male",7,4,1,"382652",29.125,"","Q"
"127",127,0,3,"McMahon, Mr. Martin","male",NA,0,0,"370372",7.75,"","Q"
"341",341,1,2,"Navratil, Master. Edmond Roger","male",2,1,1,"230080",26,"F2","S"
"73",73,0,2,"Hood, Mr. Ambrose Jr","male",21,0,0,"S.O.C. 14879",73.5,"","S"
"811",811,0,3,"Alexander, Mr. William","male",26,0,0,"3474",7.8875,"","S"
"476",476,0,1,"Clifford, Mr. George Quincy","male",NA,0,0,"110465",52,"A14","S"
"656",656,0,2,"Hickman, Mr. Leonard Mark","male",24,2,0,"S.O.C. 14879",73.5,"","S"
"155",155,0,3,"Olsen, Mr. Ole Martin","male",NA,0,0,"Fa 265302",7.3125,"","S"
"814",814,0,3,"Andersson, Miss. Ebba Iris Alfrida","female",6,4,2,"347082",31.275,"","S"
"378",378,0,1,"Widener, Mr. Harry Elkins","male",27,0,2,"113503",211.5,"C82","C"
"209",209,1,3,"Carr, Miss. Helen ""Ellen""","female",16,0,0,"367231",7.75,"","Q"
"244",244,0,3,"Maenpaa, Mr. Matti Alexanteri","male",22,0,0,"STON/O 2. 3101275",7.125,"","S"
"359",359,1,3,"McGovern, Miss. Mary","female",NA,0,0,"330931",7.8792,"","Q"
"543",543,0,3,"Andersson, Miss. Sigrid Elisabeth","female",11,4,2,"347082",31.275,"","S"
"689",689,0,3,"Fischer, Mr. Eberhard Thelander","male",18,0,0,"350036",7.7958,"","S"
"185",185,1,3,"Kink-Heilmann, Miss. Luise Gretchen","female",4,0,2,"315153",22.025,"","S"
"165",165,0,3,"Panula, Master. Eino Viljami","male",1,4,1,"3101295",39.6875,"","S"
"797",797,1,1,"Leader, Dr. Alice (Farnham)","female",49,0,0,"17465",25.9292,"D17","S"
"449",449,1,3,"Baclini, Miss. Marie Catherine","female",5,2,1,"2666",19.2583,"","C"
"257",257,1,1,"Thorne, Mrs. Gertrude Maybelle","female",NA,0,0,"PC 17585",79.2,"","C"
"461",461,1,1,"Anderson, Mr. Harry","male",48,0,0,"19952",26.55,"E12","S"
"787",787,1,3,"Sjoblom, Miss. Anna Sofia","female",18,0,0,"3101265",7.4958,"","S"
"732",732,0,3,"Hassan, Mr. Houssein G N","male",11,0,0,"2699",18.7875,"","C"
"337",337,0,1,"Pears, Mr. Thomas Clinton","male",29,1,0,"113776",66.6,"C2","S"
"639",639,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)","female",41,0,5,"3101295",39.6875,"","S"
"516",516,0,1,"Walker, Mr. William Anderson","male",47,0,0,"36967",34.0208,"D46","S"
"577",577,1,2,"Garside, Miss. Ethel","female",34,0,0,"243880",13,"","S"
"517",517,1,2,"Lemore, Mrs. (Amelia Milley)","female",34,0,0,"C.A. 34260",10.5,"F33","S"
"372",372,0,3,"Wiklund, Mr. Jakob Alfred","male",18,1,0,"3101267",6.4958,"","S"
"78",78,0,3,"Moutal, Mr. Rahamin Haim","male",NA,0,0,"374746",8.05,"","S"
"430",430,1,3,"Pickard, Mr. Berk (Berk Trembisky)","male",32,0,0,"SOTON/O.Q. 392078",8.05,"E10","S"
"890",890,1,1,"Behr, Mr. Karl Howell","male",26,0,0,"111369",30,"C148","C"
"631",631,1,1,"Barkworth, Mr. Algernon Henry Wilson","male",80,0,0,"27042",30,"A23","S"
"432",432,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)","female",NA,1,0,"376564",16.1,"","S"
"533",533,0,3,"Elias, Mr. Joseph Jr","male",17,1,1,"2690",7.2292,"","C"
"237",237,0,2,"Hold, Mr. Stephen","male",44,1,0,"26707",26,"","S"
"562",562,0,3,"Sivic, Mr. Husein","male",40,0,0,"349251",7.8958,"","S"
"852",852,0,3,"Svensson, Mr. Johan","male",74,0,0,"347060",7.775,"","S"
"334",334,0,3,"Vander Planke, Mr. Leo Edmondus","male",16,2,0,"345764",18,"","S"
"673",673,0,2,"Mitchell, Mr. Henry Michael","male",70,0,0,"C.A. 24580",10.5,"","S"
"234",234,1,3,"Asplund, Miss. Lillian Gertrud","female",5,4,2,"347077",31.3875,"","S"
"435",435,0,1,"Silvey, Mr. William Baird","male",50,1,0,"13507",55.9,"E44","S"
"383",383,0,3,"Tikkanen, Mr. Juho","male",32,0,0,"STON/O 2. 3101293",7.925,"","S"
"586",586,1,1,"Taussig, Miss. Ruth","female",18,0,2,"110413",79.65,"E68","S"
"708",708,1,1,"Calderhead, Mr. Edward Pennington","male",42,0,0,"PC 17476",26.2875,"E24","S"
"743",743,1,1,"Ryerson, Miss. Susan Parker ""Suzette""","female",21,2,2,"PC 17608",262.375,"B57 B59 B63 B66","C"
"789",789,1,3,"Dean, Master. Bertram Vere","male",1,1,2,"C.A. 2315",20.575,"","S"
"436",436,1,1,"Carter, Miss. Lucile Polk","female",14,1,2,"113760",120,"B96 B98","S"
"770",770,0,3,"Gronnestad, Mr. Daniel Danielsen","male",32,0,0,"8471",8.3625,"","S"
"54",54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","female",29,1,0,"2926",26,"","S"
"429",429,0,3,"Flynn, Mr. James","male",NA,0,0,"364851",7.75,"","Q"
"768",768,0,3,"Mangan, Miss. Mary","female",30.5,0,0,"364850",7.75,"","Q"
"489",489,0,3,"Somerton, Mr. Francis William","male",30,0,0,"A.5. 18509",8.05,"","S"
"791",791,0,3,"Keane, Mr. Andrew ""Andy""","male",NA,0,0,"12460",7.75,"","Q"
"554",554,1,3,"Leeni, Mr. Fahim (""Philip Zenni"")","male",22,0,0,"2620",7.225,"","C"
"423",423,0,3,"Zimmerman, Mr. Leo","male",29,0,0,"315082",7.875,"","S"
"263",263,0,1,"Taussig, Mr. Emil","male",52,1,1,"110413",79.65,"E67","S"
"621",621,0,3,"Yasbeck, Mr. Antoni","male",27,1,0,"2659",14.4542,"","C"
"573",573,1,1,"Flynn, Mr. John Irwin (""Irving"")","male",36,0,0,"PC 17474",26.3875,"E25","S"
"205",205,1,3,"Cohen, Mr. Gurshon ""Gus""","male",18,0,0,"A/5 3540",8.05,"","S"
"321",321,0,3,"Dennis, Mr. Samuel","male",22,0,0,"A/5 21172",7.25,"","S"
"425",425,0,3,"Rosblom, Mr. Viktor Richard","male",18,1,1,"370129",20.2125,"","S"
"141",141,0,3,"Boulos, Mrs. Joseph (Sultana)","female",NA,0,2,"2678",15.2458,"","C"
"603",603,0,1,"Harrington, Mr. Charles H","male",NA,0,0,"113796",42.4,"","S"
"765",765,0,3,"Eklund, Mr. Hans Linus","male",16,0,0,"347074",7.775,"","S"
"151",151,0,2,"Bateman, Rev. Robert James","male",51,0,0,"S.O.P. 1166",12.525,"","S"
"323",323,1,2,"Slayter, Miss. Hilda Mary","female",30,0,0,"234818",12.35,"","Q"
"192",192,0,2,"Carbines, Mr. William","male",19,0,0,"28424",13,"","S"
"154",154,0,3,"van Billiard, Mr. Austin Blyler","male",40.5,0,2,"A/5. 851",14.5,"","S"
"683",683,0,3,"Olsvigen, Mr. Thor Anderson","male",20,0,0,"6563",9.225,"","S"
"877",877,0,3,"Gustafsson, Mr. Alfred Ossian","male",20,0,0,"7534",9.8458,"","S"
"682",682,1,1,"Hassab, Mr. Hammad","male",27,0,0,"PC 17572",76.7292,"D49","C"
"666",666,0,2,"Hickman, Mr. Lewis","male",32,2,0,"S.O.C. 14879",73.5,"","S"
"443",443,0,3,"Petterson, Mr. Johan Emil","male",25,1,0,"347076",7.775,"","S"
"840",840,1,1,"Marechal, Mr. Pierre","male",NA,0,0,"11774",29.7,"C47","C"
"393",393,0,3,"Gustafsson, Mr. Johan Birger","male",28,2,0,"3101277",7.925,"","S"
"541",541,1,1,"Crosby, Miss. Harriet R","female",36,0,2,"WE/P 5735",71,"B22","S"
"198",198,0,3,"Olsen, Mr. Karl Siegwart Andreas","male",42,0,1,"4579",8.4042,"","S"
"116",116,0,3,"Pekoniemi, Mr. Edvard","male",21,0,0,"STON/O 2. 3101294",7.925,"","S"
"238",238,1,2,"Collyer, Miss. Marjorie ""Lottie""","female",8,0,2,"C.A. 31921",26.25,"","S"
"232",232,0,3,"Larsson, Mr. Bengt Edvin","male",29,0,0,"347067",7.775,"","S"
"130",130,0,3,"Ekstrom, Mr. Johan","male",45,0,0,"347061",6.975,"","S"
"462",462,0,3,"Morley, Mr. William","male",34,0,0,"364506",8.05,"","S"
"646",646,1,1,"Harper, Mr. Henry Sleeper","male",48,1,0,"PC 17572",76.7292,"D33","C"
"389",389,0,3,"Sadlier, Mr. Matthew","male",NA,0,0,"367655",7.7292,"","Q"
"288",288,0,3,"Naidenoff, Mr. Penko","male",22,0,0,"349206",7.8958,"","S"
"704",704,0,3,"Gallagher, Mr. Martin","male",25,0,0,"36864",7.7417,"","Q"
"333",333,0,1,"Graham, Mr. George Edward","male",38,0,1,"PC 17582",153.4625,"C91","S"
"416",416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)","female",NA,0,0,"343095",8.05,"","S"
"53",53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)","female",49,1,0,"PC 17572",76.7292,"D33","C"
"889",889,0,3,"Johnston, Miss. Catherine Helen ""Carrie""","female",NA,1,2,"W./C. 6607",23.45,"","S"
"115",115,0,3,"Attalah, Miss. Malake","female",17,0,0,"2627",14.4583,"","C"
"176",176,0,3,"Klasen, Mr. Klas Albin","male",18,1,1,"350404",7.8542,"","S"
"51",51,0,3,"Panula, Master. Juha Niilo","male",7,4,1,"3101295",39.6875,"","S"
